Gene_ID	Gene_Name
ENSMUSG00000022307	Oxr1
ENSMUSG00000002064	Sdf2
ENSMUSG00000026385	Dbi
ENSMUSG00000036587	Fut7
ENSMUSG00000019863	Qrsl1
ENSMUSG00000025451	Paip1
ENSMUSG00000016619	Nup50
ENSMUSG00000035699	Slc51a
ENSMUSG00000022529	Zfp263
ENSMUSG00000020164	Kcnmb4os1
ENSMUSG00000054455	Vapb
ENSMUSG00000031711	Zfp330
ENSMUSG00000041975	Mettl8
ENSMUSG00000048731	Ggnbp1
ENSMUSG00000090066	1110002E22Rik
ENSMUSG00000101854	1700026F02Rik
ENSMUSG00000035227	Spcs2
ENSMUSG00000036615	Rfxap
ENSMUSG00000052675	Zfp112
ENSMUSG00000057396	Zfp759
ENSMUSG00000046101	Mcmdc2
ENSMUSG00000030117	Gdf3
ENSMUSG00000062110	Scfd2
ENSMUSG00000092570	Plut
ENSMUSG00000041328	Pcf11
ENSMUSG00000047714	Ppp1r2
ENSMUSG00000048450	Msx1
ENSMUSG00000074252	Gm10654
ENSMUSG00000052085	Dock8
ENSMUSG00000029314	Gpat3
ENSMUSG00000020130	Tbc1d15
ENSMUSG00000026770	Il2ra
ENSMUSG00000089997	1810020O05Rik
ENSMUSG00000026020	Nop58
ENSMUSG00000042258	Isl1
ENSMUSG00000057672	Pkn1
ENSMUSG00000030935	Acsm3
ENSMUSG00000085928	4933427I22Rik
ENSMUSG00000027510	Rbm38
ENSMUSG00000078652	Psme3
ENSMUSG00000029363	Rfc5
ENSMUSG00000080662	Mir1b
ENSMUSG00000026698	Pigc
ENSMUSG00000003847	Nfat5
ENSMUSG00000052763	Zfp212
ENSMUSG00000086817	Gm11482
ENSMUSG00000028989	Angptl7
ENSMUSG00000071893	Vmn1r4
ENSMUSG00000078302	Foxd1
ENSMUSG00000039740	Alg2
ENSMUSG00000086765	Gm11827
ENSMUSG00000038402	Foxf2
ENSMUSG00000044786	Zfp36
ENSMUSG00000030189	Ybx3
ENSMUSG00000021280	Exoc3l4
ENSMUSG00000060938	Rpl26
ENSMUSG00000059668	Krt4
ENSMUSG00000033416	Gucd1
ENSMUSG00000019471	Cdc37
ENSMUSG00000079051	Vinac1
ENSMUSG00000040701	Ap1g2
ENSMUSG00000024896	Minpp1
ENSMUSG00000024483	Ankhd1
ENSMUSG00000049422	Chchd10
ENSMUSG00000021081	Serpina1f
ENSMUSG00000038227	Hoxa9
ENSMUSG00000020333	Acsl6
ENSMUSG00000078765	U2af1l4
ENSMUSG00000024442	Dele1
ENSMUSG00000043284	Tmem11
ENSMUSG00000064602	Snora41
ENSMUSG00000044562	Rasip1
ENSMUSG00000030609	Aen
ENSMUSG00000005610	Eif4g2
ENSMUSG00000035215	Lsm7
ENSMUSG00000046637	Ttc34
ENSMUSG00000020690	Efcab3
ENSMUSG00000024868	Dkk1
ENSMUSG00000089789	Rdh1
ENSMUSG00000093565	Rab26os
ENSMUSG00000046367	Mgat4e
ENSMUSG00000046961	Gpr156
ENSMUSG00000114852	Gm47189
ENSMUSG00000040794	C1qtnf4
ENSMUSG00000047003	Zfp41
ENSMUSG00000050855	Zfp940
ENSMUSG00000073010	Gm5127
ENSMUSG00000000318	Clec10a
ENSMUSG00000036199	Ndufa13
ENSMUSG00000038542	Pcid2
ENSMUSG00000017417	Plxdc1
ENSMUSG00000026830	Ermn
ENSMUSG00000053420	Gm4792
ENSMUSG00000009406	Elk1
ENSMUSG00000065563	Mir103-2
ENSMUSG00000026042	Col5a2
ENSMUSG00000096658	Vmn2r39
ENSMUSG00000023015	Racgap1
ENSMUSG00000027589	Pcmtd2
ENSMUSG00000018841	Rad51d
ENSMUSG00000020435	Osbp2
ENSMUSG00000107874	Prpmp5
ENSMUSG00000029401	Rilpl2
ENSMUSG00000051579	Tceal8
ENSMUSG00000022148	Fyb
ENSMUSG00000100681	1700064J06Rik
ENSMUSG00000038416	Cdc16
ENSMUSG00000023224	Serping1
ENSMUSG00000074652	Myh7b
ENSMUSG00000087174	5530601H04Rik
ENSMUSG00000024948	Map4k2
ENSMUSG00000037089	Slc35b2
ENSMUSG00000037335	Hand1
ENSMUSG00000047953	Gp5
ENSMUSG00000028009	1700061I17Rik
ENSMUSG00000038241	Cep250
ENSMUSG00000045912	C2cd4c
ENSMUSG00000019132	BC005537
ENSMUSG00000068149	Tex13c3
ENSMUSG00000025189	Cnnm1
ENSMUSG00000041718	Alg13
ENSMUSG00000026094	Stk17b
ENSMUSG00000063851	Rnf183
ENSMUSG00000026283	Ing5
ENSMUSG00000042861	Kcna10
ENSMUSG00000044461	Shisa2
ENSMUSG00000026321	Tnfrsf11a
ENSMUSG00000055826	Tescl
ENSMUSG00000036529	Sbf1
ENSMUSG00000051184	Zfp524
ENSMUSG00000041479	Syt15
ENSMUSG00000032826	Ank2
ENSMUSG00000031786	Drc7
ENSMUSG00000097191	Mm2pr
ENSMUSG00000015839	Nfe2l2
ENSMUSG00000073530	Pappa2
ENSMUSG00000027650	Tti1
ENSMUSG00000025408	Ddit3
ENSMUSG00000010406	Mrpl52
